,labeled_data,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,dataset_id,transformer,mean_test_accuracy
0,0.05,0.8305084745762712,0.8728813559322034,0.8532289628180039,44,No AE,0.8522062644421595
1,0.1,0.9119947848761408,0.8617992177314211,0.878016960208741,44,No AE,0.8839369876054343
2,0.15000000000000002,0.8852672750977836,0.8702737940026075,0.8956294846705806,44,No AE,0.8837235179236572
3,0.2,0.9172099087353324,0.894393741851369,0.8864970645792564,44,No AE,0.8993669050553192
4,0.25,0.9100391134289441,0.9067796610169492,0.9158512720156556,44,No AE,0.9108900154871831
5,0.3,0.9061277705345502,0.9211212516297262,0.9197651663405088,44,No AE,0.9156713961682618
6,0.35000000000000003,0.9119947848761408,0.9185136897001304,0.9151989562948468,44,No AE,0.9152358102903726
7,0.4,0.9152542372881356,0.9152542372881356,0.9191128506197,44,No AE,0.9165404417319905
8,0.45,0.9080834419817472,0.9172099087353324,0.9217221135029354,44,No AE,0.9156718214066716
9,0.5,0.9178617992177314,0.926336375488918,0.9132420091324199,44,No AE,0.9191467279463564
10,0.55,0.9146023468057366,0.922425032594524,0.9138943248532291,44,No AE,0.91697390141783
11,0.6000000000000001,0.9230769230769232,0.92503259452412,0.9171559034572732,44,No AE,0.921755140352772
12,0.6500000000000001,0.92503259452412,0.92503259452412,0.9158512720156556,44,No AE,0.9219721536879651
13,0.7000000000000001,0.9256844850065188,0.9269882659713168,0.9230267449445532,44,No AE,0.9252331653074628
14,0.7500000000000001,0.9217731421121252,0.9230769230769232,0.9191128506197,44,No AE,0.9213209719362494
15,0.8,0.9211212516297262,0.9178617992177314,0.9165035877364645,44,No AE,0.9184955461946408
16,0.8500000000000001,0.9256844850065188,0.92503259452412,0.9165035877364645,44,No AE,0.9224068890890345
17,0.9000000000000001,0.9269882659713168,0.9230769230769232,0.9191128506197,44,No AE,0.92305934655598
18,0.95,0.926336375488918,0.92503259452412,0.9223744292237442,44,No AE,0.9245811330789272
19,1.0,0.9256844850065188,0.92503259452412,0.9204174820613176,44,No AE,0.9237115205306522
20,0.05,0.8246414602346805,0.8572359843546284,0.8610567514677103,44,AE,0.8476447320190065
21,0.1,0.8885267275097783,0.8833116036505867,0.8806262230919765,44,AE,0.8841548514174472
22,0.15000000000000002,0.9061277705345502,0.8989569752281616,0.9165035877364645,44,AE,0.907196111166392
23,0.2,0.9191655801825294,0.8963494132985659,0.9080234833659492,44,AE,0.9078461589490148
24,0.25,0.9165580182529336,0.9022164276401564,0.918460534898891,44,AE,0.9124116602639936
25,0.3,0.9185136897001304,0.9015645371577576,0.9047619047619048,44,AE,0.9082800438732642
26,0.35000000000000003,0.9322033898305084,0.9132985658409388,0.9165035877364645,44,AE,0.9206685144693041
27,0.4,0.9211212516297262,0.9113428943937418,0.9191128506197,44,AE,0.9171923322143892
28,0.45,0.92503259452412,0.9132985658409388,0.9158512720156556,44,AE,0.9180608107935716
29,0.5,0.9289439374185136,0.9139504563233376,0.9125896934116112,44,AE,0.9184946957178208
30,0.55,0.9230769230769232,0.9119947848761408,0.9197651663405088,44,AE,0.9182789580978576
31,0.6000000000000001,0.9295958279009128,0.9126466753585396,0.9210697977821264,44,AE,0.921104100347193
32,0.6500000000000001,0.922425032594524,0.9146023468057366,0.923679060665362,44,AE,0.9202354800218744
33,0.7000000000000001,0.9276401564537158,0.9106910039113428,0.9165035877364645,44,AE,0.9182782493671744
34,0.7500000000000001,0.9302477183833116,0.9132985658409388,0.918460534898891,44,AE,0.9206689397077138
35,0.8,0.9276401564537158,0.9126466753585396,0.923679060665362,44,AE,0.9213219641592058
36,0.8500000000000001,0.9269882659713168,0.9139504563233376,0.9230267449445532,44,AE,0.9213218224130691
37,0.9000000000000001,0.9308996088657104,0.9146023468057366,0.9217221135029354,44,AE,0.9224080230581274
38,0.95,0.9315514993481095,0.9152542372881356,0.9217221135029354,44,AE,0.9228426167130602
39,1.0,0.9282920469361148,0.9159061277705346,0.9230267449445532,44,AE,0.9224083065504008
40,0.05,0.22846441947565546,0.2176360225140713,0.2270168855534709,1492,No AE,0.2243724425143992
41,0.1,0.3595505617977528,0.3133208255159475,0.3339587242026266,1492,No AE,0.3356100371721089
42,0.15000000000000002,0.34269662921348315,0.3283302063789869,0.3921200750469043,1492,No AE,0.3543823035464581
43,0.2,0.3838951310861423,0.39962476547842396,0.4277673545966229,1492,No AE,0.4037624170537297
44,0.25,0.4138576779026217,0.4183864915572232,0.4652908067542214,1492,No AE,0.43251165873802216
45,0.3,0.4307116104868914,0.5140712945590994,0.4315196998123828,1492,No AE,0.4587675349527912
46,0.35000000000000003,0.5093632958801498,0.4390243902439024,0.525328330206379,1492,No AE,0.4912386721101438
47,0.4,0.4906367041198502,0.5328330206378987,0.4427767354596623,1492,No AE,0.4887488200724704
48,0.45,0.5449438202247191,0.4803001876172608,0.5121951219512195,1492,No AE,0.5124797099310664
49,0.5,0.5636704119850188,0.5534709193245778,0.5028142589118199,1492,No AE,0.5399851967404722
50,0.55,0.5823970037453183,0.5290806754221389,0.5365853658536586,1492,No AE,0.5493543483403719
51,0.6000000000000001,0.5599250936329588,0.5853658536585366,0.5290806754221389,1492,No AE,0.5581238742378781
52,0.6500000000000001,0.5730337078651685,0.5666041275797373,0.5722326454033771,1492,No AE,0.5706234936160942
53,0.7000000000000001,0.5355805243445693,0.549718574108818,0.5347091932457786,1492,No AE,0.5400027638997219
54,0.7500000000000001,0.5599250936329588,0.5834896810506567,0.5816135084427767,1492,No AE,0.5750094277087974
55,0.8,0.5730337078651685,0.5872420262664165,0.5834896810506567,1492,No AE,0.5812551383940806
56,0.8500000000000001,0.602996254681648,0.6060037523452158,0.5572232645403377,1492,No AE,0.5887410905224004
57,0.9000000000000001,0.5711610486891385,0.6022514071294559,0.6097560975609756,1492,No AE,0.5943895177931899
58,0.95,0.5955056179775281,0.6397748592870544,0.5778611632270169,1492,No AE,0.6043805468305331
59,1.0,0.5917602996254682,0.6116322701688556,0.6078799249530957,1492,No AE,0.6037574982491398
60,0.05,0.200374531835206,0.25140712945590993,0.21200750469043156,1492,AE,0.2212630553271825
61,0.1,0.32397003745318353,0.300187617260788,0.29080675422138835,1492,AE,0.3049881363117866
62,0.15000000000000002,0.3314606741573033,0.3076923076923077,0.275797373358349,1492,AE,0.3049834517359867
63,0.2,0.3970037453183521,0.3921200750469043,0.3677298311444653,1492,AE,0.38561788383657386
64,0.25,0.451310861423221,0.41275797373358347,0.4333958724202627,1492,AE,0.4324882358590224
65,0.3,0.4737827715355805,0.4315196998123828,0.3977485928705441,1492,AE,0.4343503547395025
66,0.35000000000000003,0.5093632958801498,0.4634146341463415,0.4840525328330206,1492,AE,0.4856101542865041
67,0.4,0.548689138576779,0.4596622889305816,0.4540337711069418,1492,AE,0.4874617328714341
68,0.45,0.4850187265917603,0.525328330206379,0.5065666041275797,1492,AE,0.5056378869752397
69,0.5,0.5411985018726592,0.4840525328330206,0.5478424015009381,1492,AE,0.5243644787355394
70,0.55,0.5880149812734082,0.4915572232645403,0.5647279549718575,1492,AE,0.5481000531699354
71,0.6000000000000001,0.5955056179775281,0.5215759849906192,0.5628517823639775,1492,AE,0.5599777951107082
72,0.6500000000000001,0.5823970037453183,0.5065666041275797,0.574108818011257,1492,AE,0.5543574752947183
73,0.7000000000000001,0.5898876404494382,0.5422138836772983,0.5703564727954972,1492,AE,0.5674859989740778
74,0.7500000000000001,0.602996254681648,0.5684803001876173,0.574108818011257,1492,AE,0.5818617909601741
75,0.8,0.5955056179775281,0.5628517823639775,0.5984990619136961,1492,AE,0.5856188207517339
76,0.8500000000000001,0.6348314606741573,0.5703564727954972,0.5909943714821764,1492,AE,0.5987274349839437
77,0.9000000000000001,0.6404494382022472,0.5778611632270169,0.5947467166979362,1492,AE,0.6043524393757335
78,0.95,0.6086142322097379,0.574108818011257,0.6322701688555347,1492,AE,0.6049977396921765
79,1.0,0.6348314606741573,0.5872420262664165,0.6172607879924953,1492,AE,0.6131114249776898
80,0.05,0.7503441538256583,0.7478573648918689,0.7530529774856788,40668,No AE,0.7504181654010688
81,0.1,0.7559838358719304,0.7523424663617391,0.7535858608286335,40668,No AE,0.7539707210207677
82,0.15000000000000002,0.7568719747768551,0.7532750122119101,0.7597140192726143,40668,No AE,0.7566203354204598
83,0.2,0.7558062080909455,0.7543407788978196,0.7585150317509658,40668,No AE,0.7562206729132437
84,0.25,0.7569607886673476,0.7535414538833873,0.7606909720680315,40668,No AE,0.7570644048729221
85,0.3,0.7569607886673476,0.7546516275145433,0.760246902615569,40668,No AE,0.7572864395991533
86,0.35000000000000003,0.7568719747768551,0.7546072205692971,0.7598028331631067,40668,No AE,0.7570940095030863
87,0.4,0.7559838358719304,0.7557618011456992,0.7594475776011368,40668,No AE,0.7570644048729221
88,0.45,0.7574936720103024,0.7542519650073272,0.7588258803676895,40668,No AE,0.756857172461773
89,0.5,0.7577157067365335,0.7536302677738799,0.758159776188996,40668,No AE,0.7565019168998032
90,0.55,0.7580709622985035,0.7546960344597895,0.7597140192726143,40668,No AE,0.7574936720103024
91,0.6000000000000001,0.7573160442293174,0.7554509525289755,0.7595807984368755,40668,No AE,0.7574492650650559
92,0.6500000000000001,0.7570496025578399,0.7550068830765132,0.7597584262178605,40668,No AE,0.7572716372840712
93,0.7000000000000001,0.7574936720103024,0.7548292552955282,0.7586482525867045,40668,No AE,0.7569903932975116
94,0.7500000000000001,0.7582041831342422,0.7552289178027444,0.7594919845463829,40668,No AE,0.7576416951611232
95,0.8,0.7576712997912873,0.7546516275145433,0.7598916470535991,40668,No AE,0.7574048581198101
96,0.8500000000000001,0.7576712997912873,0.7548736622407745,0.7590035081486745,40668,No AE,0.7571828233935788
97,0.9000000000000001,0.757982148408011,0.7549624761312669,0.7593143567653982,40668,No AE,0.7574196604348921
98,0.95,0.7581153692437497,0.7550512900217594,0.7582485900794884,40668,No AE,0.7571384164483325
99,1.0,0.7586482525867045,0.7547404414050357,0.7585594386962121,40668,No AE,0.7573160442293174
100,0.05,0.7065589058128692,0.7138860517784982,0.7203250588392025,40668,AE,0.7135900054768566
101,0.1,0.7107331586660154,0.7174386073981971,0.7203694657844487,40668,AE,0.7161804106162203
102,0.15000000000000002,0.7103779031040455,0.7185931879745993,0.7212131977441272,40668,AE,0.7167280962742574
103,0.2,0.7119321461876638,0.7197477685510014,0.7226786269372529,40668,AE,0.7181195138919727
104,0.25,0.7129979128735734,0.7200142102224788,0.7242772769661175,40668,AE,0.7190964666873899
105,0.3,0.7141969003952218,0.7212131977441272,0.7226342199920067,40668,AE,0.7193481060437853
106,0.35000000000000003,0.7141080865047293,0.7194369199342777,0.7246769394733337,40668,AE,0.7194073153041135
107,0.4,0.713664017052267,0.7211243838536348,0.7235667658421777,40668,AE,0.7194517222493598
108,0.45,0.7130867267640659,0.7213908255251121,0.7244993116923487,40668,AE,0.7196589546605089
109,0.5,0.7128646920378348,0.7209023491274035,0.7240996491851326,40668,AE,0.7192888967834571
110,0.55,0.7129979128735734,0.7217016741418358,0.7231671033349616,40668,AE,0.7192888967834571
111,0.6000000000000001,0.7128646920378348,0.7202362449487099,0.7236555797326701,40668,AE,0.7189188389064051
112,0.6500000000000001,0.7132643545450509,0.7207691282916648,0.7242772769661175,40668,AE,0.7194369199342777
113,0.7000000000000001,0.7138416448332522,0.7209023491274035,0.7243216839113638,40668,AE,0.719688559290673
114,0.7500000000000001,0.7130423198188197,0.7221013366490521,0.7246769394733337,40668,AE,0.7199401986470685
115,0.8,0.7143301212309605,0.7218348949775745,0.7246769394733337,40668,AE,0.7202806518939561
116,0.8500000000000001,0.7135752031617745,0.7206803144011723,0.7250321950353035,40668,AE,0.7197625708660834
117,0.9000000000000001,0.7136196101070207,0.7222789644300368,0.72436609085661,40668,AE,0.7200882217978891
118,0.95,0.7138416448332522,0.7213020116346196,0.7244993116923487,40668,AE,0.7198809893867401
119,1.0,0.713664017052267,0.7215684533060971,0.7244104978018562,40668,AE,0.7198809893867401
120,0.05,0.7839204594154453,0.7798397119958856,0.77735396219946,40996,No AE,0.7803713778702637
121,0.1,0.7710636838947459,0.7803111473021043,0.775553936484807,40996,No AE,0.7756429225605523
122,0.15000000000000002,0.7724779292020229,0.7838254832211888,0.7842112030171859,40996,No AE,0.7801715384801327
123,0.2,0.7957915488128909,0.7933399048557837,0.7953113615908799,40996,No AE,0.7948142717531849
124,0.25,0.8001628524899289,0.8015685938370548,0.8013971628166117,40996,No AE,0.8010428697145319
125,0.3,0.8061626810662552,0.8110830154716496,0.8154116487378391,40996,No AE,0.8108857817585813
126,0.35000000000000003,0.8217193794463016,0.8066686666952385,0.8147259246560665,40996,No AE,0.8143713235992022
127,0.4,0.8196194394445873,0.8171688166973814,0.8202974328204689,40996,No AE,0.8190285629874792
128,0.45,0.8243764463872459,0.8244546350662152,0.8244117773111045,40996,No AE,0.8244142862548552
129,0.5,0.831233393331619,0.8220974585351222,0.8276689666995243,40996,No AE,0.8269999395220884
130,0.55,0.8337190365989543,0.8343547764968071,0.8309690138430549,40996,No AE,0.8330142756462721
131,0.6000000000000001,0.8378332047655781,0.8326404662923756,0.8336690524150345,40996,No AE,0.8347142411576627
132,0.6500000000000001,0.8360332561926802,0.8353405048643552,0.8373119615994514,40996,No AE,0.8362285742188291
133,0.7000000000000001,0.8366760949687152,0.8396691381305447,0.8385119787425535,40996,No AE,0.8382857372806045
134,0.7500000000000001,0.8416473815033856,0.8374405348647838,0.8381262589465563,40996,No AE,0.8390713917715752
135,0.8,0.8408759749721436,0.8417263103758625,0.8421120301718596,40996,No AE,0.8415714385066219
136,0.8500000000000001,0.8440044570155139,0.841426306090087,0.8433977628251832,40996,No AE,0.8429428419769279
137,0.9000000000000001,0.8441330247707208,0.8429263275189646,0.8442120601722882,40996,No AE,0.8437571374873246
138,0.95,0.8456758378332048,0.8443406334376206,0.8433549050700724,40996,No AE,0.8444571254469659
139,1.0,0.8487186080397703,0.8465263789482707,0.8457977971113873,40996,No AE,0.8470142613664761
140,0.05,0.7870917973772178,0.8015685938370548,0.7962113744482064,40996,AE,0.7949572552208263
141,0.1,0.8102339933144768,0.8045686366948099,0.8098401405734368,40996,AE,0.8082142568609078
142,0.15000000000000002,0.8230050569983715,0.8283546907812969,0.8238117687395534,40996,AE,0.8250571721730738
143,0.2,0.8438758892603069,0.8364976642523465,0.8346976385376934,40996,AE,0.8383570640167823
144,0.25,0.8467472357932628,0.8453692195602794,0.8423691767025243,40996,AE,0.8448285440186889
145,0.3,0.8472615068140911,0.8541550593579909,0.8510264432349034,40996,AE,0.8508143364689951
146,0.35000000000000003,0.8594325876403531,0.8553550765010929,0.8593408477263961,40996,AE,0.8580428372892808
147,0.4,0.861103968458044,0.8623408905841512,0.8611408734410492,40996,AE,0.8615285774944148
148,0.45,0.8659895431559098,0.863798054257918,0.8619551707881541,40996,AE,0.8639142560673273
149,0.5,0.8692894488728894,0.8675266789525564,0.8651695024214632,40996,AE,0.8673285434156363
150,0.55,0.8695894403017057,0.8662838040543437,0.8678695409934427,40996,AE,0.867914261783164
151,0.6000000000000001,0.8689894574440731,0.8705267218103115,0.8694124201774311,40996,AE,0.869642866477272
152,0.6500000000000001,0.8729750578554898,0.8732696181374019,0.86662666609523,40996,AE,0.8709571140293738
153,0.7000000000000001,0.8721179394874432,0.8723696052800755,0.8721553165045215,40996,AE,0.87221428709068
154,0.7500000000000001,0.8739607439787435,0.8748553550765011,0.8715124501778597,40996,AE,0.8734428497443679
155,0.8,0.8749892860203994,0.8754982214031629,0.8739981999742853,40996,AE,0.874828569132616
156,0.8500000000000001,0.8783749035741836,0.8789268418120258,0.8737839111987314,40996,AE,0.8770285521949802
157,0.9000000000000001,0.8786320390845976,0.8775982514035915,0.8750696438520551,40996,AE,0.8770999781134147
158,0.95,0.8788463186766092,0.8775125358933699,0.8766553807911541,40996,AE,0.8776714117870444
159,1.0,0.8792320219422303,0.8802554322204603,0.8766125230360434,40996,AE,0.8786999923995781
