,Unnamed: 0,dataset_id,transformer,clf,split0_test_adversarial_robustness,split1_test_adversarial_robustness,split2_test_adversarial_robustness,mean_test_adversarial_robustness
0,0,40996,AE,LogisticRegression,0.4869311794884736,0.5988238648220722,0.6241131664322573,0.5699560702476011
1,1,40996,AE,DecisionTreeClassifier,0.28706932371872473,0.38419879728420575,0.3576888218899524,0.3429856476309609
2,2,40996,AE,GaussianNB,0.7214985330755258,0.7544876281852404,0.8267267617855235,0.7675709743487632
3,3,40996,AE,LinearSVC,0.5726368590585276,0.5704391869158699,0.6488416408096181,0.5973058955946718
4,4,40996,None,LogisticRegression,0.5262958801158297,0.5139511284189416,0.4856233396517623,0.5086234493955112
5,5,40996,None,DecisionTreeClassifier,0.03564402826838595,0.02691921153459492,0.034373181735776435,0.032312140512919106
6,6,40996,None,GaussianNB,0.011842713400112946,0.003017166423922305,0.0023220566696636755,0.005727312164566309
7,7,40996,None,LinearSVC,0.3551252652116832,0.3865289433182315,0.2957930620704619,0.34581575686679217
8,8,40996,DAE,LogisticRegression,0.7704238539852638,0.7853161093662258,0.7258921963862431,0.7605440532459109
9,9,40996,DAE,DecisionTreeClassifier,0.4319526217029511,0.490916287913653,0.4413043922478045,0.4547244339548029
10,10,40996,DAE,GaussianNB,1.1613712511780752,1.1917959903491793,1.0195655570815354,1.12424426620293
11,11,40996,DAE,LinearSVC,0.7922580972591194,0.6507716195894054,0.6972416825063524,0.7134237997849592
12,12,40996,SAE,LogisticRegression,0.7003546561532211,0.6920061052554232,0.6991857059720492,0.6971821557935645
13,13,40996,SAE,DecisionTreeClassifier,0.34240861298009073,0.4133757912210464,0.3037432744848699,0.3531758928953357
14,14,40996,SAE,GaussianNB,0.7877248280522786,0.6613952767443585,0.7047560633871932,0.7179587227279435
15,15,40996,SAE,LinearSVC,0.6478694841634095,0.7068708001473846,0.5613643895770128,0.6387015579626023
16,16,40668,AE,LogisticRegression,0.4357916027916445,0.4560404392452481,0.37662817275443344,0.4228200715971087
17,17,40668,AE,DecisionTreeClassifier,0.3009963033437443,0.17649593837690633,0.17908809061438005,0.21886011077834355
18,18,40668,AE,GaussianNB,0.5114288224832482,0.40557049061822703,0.05719637430207637,0.32473189580118383
19,19,40668,AE,LinearSVC,0.4411931366040154,0.4329705833494882,0.07466825039176649,0.3162773234484233
20,20,40668,None,LogisticRegression,0.2895712457417983,0.3228997059686186,0.34488607533248017,0.3191190090142991
21,21,40668,None,DecisionTreeClassifier,0.6724080876015104,0.6401011656371393,0.6683976002021539,0.6603022844802678
22,22,40668,None,GaussianNB,0.0533382862641265,0.03291799400676925,0.003958307585235975,0.03007152928537724
23,23,40668,None,LinearSVC,0.3153220790992196,0.3612641082135875,0.3455398458467554,0.3407086777198542
24,24,40668,DAE,LogisticRegression,0.3145820447010169,0.1943017085516256,0.33534165411095745,0.2814084691212
25,25,40668,DAE,DecisionTreeClassifier,0.2151431690409837,0.1419501914040934,0.31836761544789244,0.22515365863098985
26,26,40668,DAE,GaussianNB,0.5872882408711027,0.5642983692645962,0.5741681331305386,0.5752515810887459
27,27,40668,DAE,LinearSVC,0.3709887273239156,0.4374452961018495,0.3869849417469319,0.398472988390899
28,28,40668,SAE,LogisticRegression,0.04445045001643811,0.12801124240902154,0.0418295655119375,0.07143041931246573
29,29,40668,SAE,DecisionTreeClassifier,0.18930633951882914,0.2060392829709012,0.2265404104489916,0.2072953443129073
30,30,40668,SAE,GaussianNB,0.05610362072766613,0.234101590854098,0.18019807753527425,0.1568010963723461
31,31,40668,SAE,LinearSVC,0.3968511336701988,0.04129686494426627,0.033034104209497366,0.15706070094132082
32,32,1492,AE,LogisticRegression,0.14310978197253654,0.10924294694229056,0.124466575049645,0.12560643465482405
33,33,1492,AE,DecisionTreeClassifier,0.06455047264742445,0.05794504910884896,0.05540072705277097,0.05929874960301479
34,34,1492,AE,GaussianNB,0.10112035043771217,0.08614649561217078,0.0877793307295092,0.09168205892646407
35,35,1492,AE,LinearSVC,0.06760479425153047,0.07768108983561725,0.07854037622730509,0.07460875343815092
36,36,1492,None,LogisticRegression,0.13822292526774901,0.12576350826358693,0.12802896849709536,0.13067180067614373
37,37,1492,None,DecisionTreeClassifier,1.0,1.0,1.0,1.0
38,38,1492,None,GaussianNB,0.06556840750149467,0.0846356957213226,0.0741520237115489,0.07478537564478872
39,39,1492,None,LinearSVC,0.051901975631925085,0.0556152704439231,0.06583857310030444,0.057785273058717536
40,40,1492,DAE,LogisticRegression,0.13716623003669298,0.14202860668246076,0.13348338640421706,0.13755940770779027
41,41,1492,DAE,DecisionTreeClassifier,0.05751435830399751,0.057935153111555025,0.05342125289847585,0.05629025477134279
42,42,1492,DAE,GaussianNB,0.10928926641518487,0.10540653707002333,0.08830458416608689,0.10100012921709836
43,43,1492,DAE,LinearSVC,0.09460729148897616,0.1190040339645538,0.10832871663858254,0.10731334736403747
44,44,1492,SAE,LogisticRegression,0.10507256263002204,0.12955345310411606,0.1053201568314344,0.11331539085519082
45,45,1492,SAE,DecisionTreeClassifier,0.04956703518977485,0.04625762075463601,0.03574776367410587,0.04385747320617225
46,46,1492,SAE,GaussianNB,0.062457020377482714,0.0714128921432421,0.06513416857958262,0.06633469370010248
47,47,1492,SAE,LinearSVC,0.08597041094840595,0.08452663847639527,0.08192746435730931,0.08414150459403684
48,48,44,AE,LogisticRegression,0.06892774366743354,0.08267982386141308,0.07693867813358704,0.0761820818874779
49,49,44,AE,DecisionTreeClassifier,0.06716737790159202,0.09334116921793648,0.0591466276072488,0.07321839157559244
50,50,44,AE,GaussianNB,0.08006398285063362,0.148853258791016,0.09039914281379767,0.10643879481848244
51,51,44,AE,LinearSVC,0.07486275403712457,0.07504213942302834,0.0710596831887729,0.07365485888297528
52,52,44,None,LogisticRegression,0.12167386145330195,0.12528718391161214,0.12440867080132716,0.12378990538874712
53,53,44,None,DecisionTreeClassifier,0.01805473956164863,0.013270797944415855,0.011512938373635005,0.014279491959899832
54,54,44,None,GaussianNB,0.04476563444156873,0.045962926602310335,0.036440184480246864,0.04238958184137531
55,55,44,None,LinearSVC,0.10398648336738177,0.10849569057062196,0.11425677111967315,0.1089129816858923
56,56,44,DAE,LogisticRegression,0.08015368036412382,0.08701427483017675,0.09099683344697344,0.08605492954709132
57,57,44,DAE,DecisionTreeClassifier,0.11861510867240048,0.0776688202888812,0.0905314218918192,0.09560511695103363
58,58,44,DAE,GaussianNB,0.110156362499904,0.0946972604877762,0.09859305231606308,0.10114889176791443
59,59,44,DAE,LinearSVC,0.07513184771249624,0.09036175120953477,0.07511892607542768,0.08020417499915289
60,60,44,SAE,LogisticRegression,0.08197933450799462,0.07300195820388597,0.0916293617698172,0.08220355149389925
61,61,44,SAE,DecisionTreeClassifier,0.07141278069805193,0.07631312217796365,0.047757745876167705,0.06516121625072778
62,62,44,SAE,GaussianNB,0.04589308758903548,0.11829017670735738,0.09700554966151677,0.08706293798596987
63,63,44,SAE,LinearSVC,0.07051916945554118,0.05976676518062371,0.08338206262294208,0.07122266575303565
