,Unnamed: 0,dataset_id,transformer,clf,noise_level,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy
0,0,40996,VAE,LogisticRegression,5.0,0.8328190623125054,0.8372262460892298,0.8401834311918742,0.8367429131978699
1,1,40996,VAE,GaussianNB,5.0,0.6400959972572212,0.6399948570693867,0.6480949727853255,0.6427286090373112
2,2,40996,VAE,KNeighborsClassifier,5.0,0.8320047998628609,0.8307975828226117,0.8313975913941628,0.8313999913598785
3,3,40996,VAE,DecisionTreeClassifier,5.0,0.7228936316105254,0.719324561779454,0.7272532464749496,0.723157146621643
4,4,40996,SAE,LogisticRegression,5.0,0.8398474329304877,0.842240603437192,0.8405691509878712,0.8408857291185171
5,5,40996,SAE,GaussianNB,5.0,0.7152224222165081,0.725367505250075,0.7281532593322761,0.7229143955996197
6,6,40996,SAE,KNeighborsClassifier,5.0,0.8178623467900917,0.8207688681266875,0.8193974199631423,0.8193428782933072
7,7,40996,SAE,DecisionTreeClassifier,5.0,0.7236650381417674,0.7270818154545065,0.7245103501478593,0.7250857345813776
8,8,40996,DAE,LogisticRegression,5.0,0.8538184623296478,0.8532121887455535,0.8544550636437663,0.8538285715729893
9,9,40996,DAE,GaussianNB,5.0,0.7483071912231078,0.7425963228046115,0.7492821326018944,0.746728548876538
10,10,40996,DAE,KNeighborsClassifier,5.0,0.8521899374303591,0.8523121758882269,0.854540779153988,0.8530142974908579
11,11,40996,DAE,DecisionTreeClassifier,5.0,0.7421787948915746,0.7405391505592938,0.7495821368876698,0.7441000274461794
12,12,40996,AE,LogisticRegression,5.0,0.8428902031370532,0.8415548793554194,0.8434406205802941,0.8426285676909222
13,13,40996,AE,GaussianNB,5.0,0.7375503557041228,0.7263532336176232,0.7447392105601509,0.7362142666272989
14,14,40996,AE,KNeighborsClassifier,5.0,0.8448187194651582,0.8466978099687138,0.8402691467020957,0.8439285587119892
15,15,40996,AE,DecisionTreeClassifier,5.0,0.7003514185308991,0.7110530150430721,0.7073672481035443,0.7062572272258385
16,16,40996,None,LogisticRegression,5.0,0.8224050741407388,0.8181545450649295,0.8208545836369091,0.8204714009475258
17,17,40996,None,GaussianNB,5.0,0.6908374046455815,0.6939099129987572,0.6954956499378563,0.6934143225273983
18,18,40996,None,KNeighborsClassifier,5.0,0.833547612925345,0.8312690181288304,0.8298547122101745,0.8315571144214499
19,19,40996,None,DecisionTreeClassifier,5.0,0.7342933059055455,0.7356533664766639,0.7382676895384219,0.7360714539735437
20,20,40996,VAE,LogisticRegression,10.0,0.8240335990400274,0.8248832126173231,0.8202974328204689,0.8230714148259398
21,21,40996,VAE,GaussianNB,10.0,0.6022113653895603,0.6463378048257832,0.6210945870655296,0.623214585760291
22,22,40996,VAE,KNeighborsClassifier,10.0,0.8218908031199108,0.8244117773111045,0.8218403120044572,0.8227142974784908
23,23,40996,VAE,DecisionTreeClassifier,10.0,0.709651152824205,0.7042386319804569,0.7093815625937513,0.707757115799471
24,24,40996,SAE,LogisticRegression,10.0,0.8233050484271878,0.8239403420048858,0.8257403677195388,0.8243285860505375
25,25,40996,SAE,GaussianNB,10.0,0.6594240164566727,0.6855097929970428,0.6600094287061243,0.6683144127199466
26,26,40996,SAE,KNeighborsClassifier,10.0,0.7477072083654752,0.7497107101530022,0.7487249817854541,0.7487143001013105
27,27,40996,SAE,DecisionTreeClassifier,10.0,0.6946515813833891,0.7050529293275618,0.7023100330004715,0.700671514570474
28,28,40996,DAE,LogisticRegression,10.0,0.8361618239478872,0.8378262546607809,0.8401834311918742,0.8380571699335141
29,29,40996,DAE,GaussianNB,10.0,0.746764378160624,0.7367248103544336,0.7499678566836671,0.7444856817329081
30,30,40996,DAE,KNeighborsClassifier,10.0,0.8316619525156425,0.8307547250675009,0.8332404748639266,0.8318857174823565
31,31,40996,DAE,DecisionTreeClassifier,10.0,0.7164652438501757,0.721124587494107,0.7182531179016843,0.7186143164153224
32,32,40996,AE,LogisticRegression,10.0,0.8242907345504414,0.826126087515536,0.8274546779239703,0.8259571666633159
33,33,40996,AE,GaussianNB,10.0,0.7173652181366247,0.7223674623923199,0.735824797497107,0.7251858260086839
34,34,40996,AE,KNeighborsClassifier,10.0,0.8197480071997942,0.8144687781254017,0.8165688081258303,0.8169285311503421
35,35,40996,AE,DecisionTreeClassifier,10.0,0.658952601354247,0.6818240260575151,0.6710238717695967,0.6706001663937862
36,36,40996,None,LogisticRegression,10.0,0.8074483586183252,0.8066258089401277,0.8075258217974542,0.8071999964519692
37,37,40996,None,GaussianNB,10.0,0.6767378074912145,0.6833240474863926,0.6803668623837483,0.6801429057871186
38,38,40996,None,KNeighborsClassifier,10.0,0.8146481529099169,0.8163116615951657,0.8193117044529208,0.8167571729860011
39,39,40996,None,DecisionTreeClassifier,10.0,0.6911802519928002,0.6940813440192003,0.6954099344276347,0.6935571768132117
40,40,40996,VAE,LogisticRegression,15.000000000000002,0.8096340104568441,0.812411605880084,0.8169545279218274,0.8130000480862519
41,41,40996,VAE,GaussianNB,15.000000000000002,0.6371817948058627,0.5964942356319376,0.6124373205331505,0.615371116990317
42,42,40996,VAE,KNeighborsClassifier,15.000000000000002,0.8076197822919345,0.8085115501650023,0.812411605880084,0.8095143127790069
43,43,40996,VAE,DecisionTreeClassifier,15.000000000000002,0.6993657324076455,0.7025671795311361,0.7032529036129087,0.7017286051838969
44,44,40996,SAE,LogisticRegression,15.000000000000002,0.8138338904602725,0.8098829983285476,0.8130973299618566,0.8122714062502255
45,45,40996,SAE,GaussianNB,15.000000000000002,0.5831404817005228,0.5915227360390862,0.5760510864440921,0.5835714347279004
46,46,40996,SAE,KNeighborsClassifier,15.000000000000002,0.7085368989457445,0.7095101358590837,0.713281618308833,0.7104428843712204
47,47,40996,SAE,DecisionTreeClassifier,15.000000000000002,0.6843233050484272,0.6879955427934685,0.6861098015685938,0.6861428831368298
48,48,40996,DAE,LogisticRegression,15.000000000000002,0.8232621925087855,0.8220117430249003,0.8294689924141774,0.8249143093159544
49,49,40996,DAE,GaussianNB,15.000000000000002,0.7214365303848461,0.7189388419834569,0.729610423006043,0.7233285984581154
50,50,40996,DAE,KNeighborsClassifier,15.000000000000002,0.7979772006514101,0.7907255817940256,0.7987399819997428,0.7958142548150594
51,51,40996,DAE,DecisionTreeClassifier,15.000000000000002,0.7012942487357504,0.7078815411648738,0.7132387605537222,0.7074715168181155
52,52,40996,AE,LogisticRegression,15.000000000000002,0.8142624496442958,0.8119401705738654,0.8161830883298333,0.8141285695159981
53,53,40996,AE,GaussianNB,15.000000000000002,0.7140653124196451,0.6796811383019757,0.6723096044229203,0.6886853517148471
54,54,40996,AE,KNeighborsClassifier,15.000000000000002,0.7511356818376618,0.7637251960742296,0.7330390434149059,0.7492999737755991
55,55,40996,AE,DecisionTreeClassifier,15.000000000000002,0.6498242907345504,0.6336090515578794,0.6307375819654566,0.6380569747526288
56,56,40996,None,LogisticRegression,15.000000000000002,0.7967343790177424,0.7950970728153259,0.8037971971028157,0.798542882978628
57,57,40996,None,GaussianNB,15.000000000000002,0.657924059312591,0.6600951442163461,0.6623237474821069,0.6601143170036813
58,58,40996,None,KNeighborsClassifier,15.000000000000002,0.7890631696237249,0.791668452406463,0.787425534650495,0.7893857188935609
59,59,40996,None,DecisionTreeClassifier,15.000000000000002,0.659081169109454,0.661080872583894,0.6674666780954014,0.6625429065962498
60,60,40996,VAE,LogisticRegression,20.0,0.8024770720836547,0.8044829211845883,0.8042257746539236,0.8037285893073888
61,61,40996,VAE,GaussianNB,20.0,0.6475100711408246,0.6150516435949085,0.6674666780954014,0.6433427976103782
62,62,40996,VAE,KNeighborsClassifier,20.0,0.7997771492243079,0.8020828868983843,0.8000257146530665,0.8006285835919197
63,63,40996,VAE,DecisionTreeClassifier,20.0,0.6925516413816748,0.7042386319804569,0.7000814297347105,0.6989572343656141
64,64,40996,SAE,LogisticRegression,20.0,0.8019199451444244,0.8072686752667895,0.8034543350619294,0.8042143184910477
65,65,40996,SAE,GaussianNB,20.0,0.4946858661181109,0.5055500792868469,0.511378733981914,0.5038715597956239
66,66,40996,SAE,KNeighborsClassifier,20.0,0.6851375674980715,0.67719538850555,0.6853812197317104,0.6825713919117774
67,67,40996,SAE,DecisionTreeClassifier,20.0,0.6659809719722294,0.6696524236060515,0.6755239360562294,0.6703857772115035
68,68,40996,DAE,LogisticRegression,20.0,0.8136624667866632,0.8205545793511336,0.8109115844512065,0.815042876863001
69,69,40996,DAE,GaussianNB,20.0,0.6824805005571272,0.6912955899369991,0.6836669095272789,0.6858143333404684
70,70,40996,DAE,KNeighborsClassifier,20.0,0.761892517356647,0.7577251103587194,0.7612823040329147,0.760299977249427
71,71,40996,DAE,DecisionTreeClassifier,20.0,0.6825233564755293,0.6974242489178417,0.6974671066729524,0.6924715706887744
72,72,40996,AE,LogisticRegression,20.0,0.8016199537156081,0.8031114730210431,0.8000685724081773,0.8015999997149429
73,73,40996,AE,GaussianNB,20.0,0.660623982171938,0.6505378648266403,0.6305232931899027,0.647228380062827
74,74,40996,AE,KNeighborsClassifier,20.0,0.6893803034199023,0.6715381648309262,0.6789096987099815,0.6799427223202701
75,75,40996,AE,DecisionTreeClassifier,20.0,0.6145538698894317,0.6232803325761797,0.6252089315561651,0.6210143780072588
76,76,40996,None,LogisticRegression,20.0,0.7894917288077483,0.7921398877126816,0.7865255217931685,0.7893857127711995
77,77,40996,None,GaussianNB,20.0,0.6273677894917288,0.6323661766596665,0.628251832169031,0.6293285994401421
78,78,40996,None,KNeighborsClassifier,20.0,0.7477929202022799,0.7468820983156902,0.7416963099472851,0.7454571094884184
79,79,40996,None,DecisionTreeClassifier,20.0,0.639538870317991,0.6356233660480864,0.6305232931899027,0.6352285098519933
80,80,40996,VAE,LogisticRegression,25.0,0.7945915830976258,0.7941542022028886,0.7928684695495649,0.7938714182833597
81,81,40996,VAE,GaussianNB,25.0,0.6262535356132682,0.6533664766639523,0.5838511978742553,0.6211570700504919
82,82,40996,VAE,KNeighborsClassifier,25.0,0.7877346361532528,0.7901684309775854,0.7878541122016028,0.7885857264441469
83,83,40996,VAE,DecisionTreeClassifier,25.0,0.6855661266820948,0.6864955213645909,0.6816954527921828,0.6845857002796228
84,84,40996,SAE,LogisticRegression,25.0,0.7892345932973344,0.7967685252646466,0.7937684824068916,0.7932572003229575
85,85,40996,SAE,GaussianNB,25.0,0.41334533299048604,0.4262632323318905,0.4452063600908585,0.4282716418044116
86,86,40996,SAE,KNeighborsClassifier,25.0,0.6713379617725208,0.6579951142159174,0.6990099858569409,0.6761143539484596
87,87,40996,SAE,DecisionTreeClassifier,25.0,0.6538956029827719,0.6609522993185617,0.6642952042172031,0.6597143688395123
88,88,40996,DAE,LogisticRegression,25.0,0.8018770892260221,0.8092829897569965,0.8067115244503493,0.805957201144456
89,89,40996,DAE,GaussianNB,25.0,0.6420673695037284,0.6403805768653837,0.6365662366605237,0.6396713943432121
90,90,40996,DAE,KNeighborsClassifier,25.0,0.715608125482129,0.7202674323918913,0.6979385419791712,0.7112713666177305
91,91,40996,DAE,DecisionTreeClassifier,25.0,0.6709094025884975,0.66956670809583,0.6750525007500107,0.6718428704781126
92,92,40996,AE,LogisticRegression,25.0,0.7888488900317134,0.79749710710153,0.7938970556722239,0.7934143509351558
93,93,40996,AE,GaussianNB,25.0,0.6057684066169537,0.6482664038057686,0.6379376848240689,0.630657498415597
94,94,40996,AE,KNeighborsClassifier,25.0,0.6413816748092912,0.5721510307290104,0.6222517464535208,0.6119281506639408
95,95,40996,AE,DecisionTreeClassifier,25.0,0.5948830033427617,0.6224231774739639,0.6205374362490893,0.6126145390219383
96,96,40996,None,LogisticRegression,25.0,0.7782206222679352,0.7834826211803025,0.7804825783225474,0.7807286072569283
97,97,40996,None,GaussianNB,25.0,0.5728550612839634,0.5793939913427335,0.5879655423648911,0.5800715316638626
98,98,40996,None,KNeighborsClassifier,25.0,0.6873232193365904,0.6958813697338534,0.6869669566708095,0.6900571819137511
99,99,40996,None,DecisionTreeClassifier,25.0,0.6087254649867146,0.6132087601251447,0.6136801954313633,0.6118714735144076
100,100,40996,VAE,LogisticRegression,30.0,0.7894060169709437,0.7867398105687224,0.7833111901598594,0.7864856725665085
101,101,40996,VAE,GaussianNB,30.0,0.5517699494300163,0.6503235760510865,0.6137230531864741,0.6052721928891923
102,102,40996,VAE,KNeighborsClassifier,30.0,0.7807491214536727,0.7765825226074659,0.7777396819954571,0.7783571086855319
103,103,40996,VAE,DecisionTreeClassifier,30.0,0.6824376446387246,0.6678095401362877,0.6735524793211332,0.6745998880320485
104,104,40996,SAE,LogisticRegression,30.0,0.7883346190108854,0.7832254746496379,0.7833969056700809,0.7849856664435347
105,105,40996,SAE,GaussianNB,30.0,0.3863032484786149,0.3913341619165988,0.3748339261989457,0.3841571121980532
106,106,40996,SAE,KNeighborsClassifier,30.0,0.6999657152652782,0.6653666480949728,0.6392662752325033,0.6681995461975848
107,107,40996,SAE,DecisionTreeClassifier,30.0,0.6500814262449645,0.6570093858483692,0.6556379376848239,0.6542429165927192
108,108,40996,DAE,LogisticRegression,30.0,0.7974200737121796,0.7956113658766554,0.793468478121116,0.7954999725699836
109,109,40996,DAE,GaussianNB,30.0,0.6385960401131396,0.6283804054343634,0.5897227103244332,0.6188997186239787
110,110,40996,DAE,KNeighborsClassifier,30.0,0.7049370017999486,0.6745382076886812,0.6791668452406463,0.686214018243092
111,111,40996,DAE,DecisionTreeClassifier,30.0,0.6677809205451273,0.6564522350319291,0.6523378905412934,0.6588570153727833
112,112,40996,AE,LogisticRegression,30.0,0.7849490014571012,0.7845112073029614,0.7812540179145416,0.7835714088915348
113,113,40996,AE,GaussianNB,30.0,0.5387846061541098,0.559336561950885,0.6336519093129902,0.5772576924726617
114,114,40996,AE,KNeighborsClassifier,30.0,0.5860118282334791,0.5170788154116487,0.5433077615394506,0.5487994683948595
115,115,40996,AE,DecisionTreeClassifier,30.0,0.5885403274192166,0.5950370719581708,0.5878798268546693,0.5904857420773522
116,116,40996,None,LogisticRegression,30.0,0.7744493014485301,0.7763682338319119,0.7717824540350576,0.7741999964384999
117,117,40996,None,GaussianNB,30.0,0.5366418102339933,0.536364805211503,0.5367933827626109,0.5365999994027023
118,118,40996,None,KNeighborsClassifier,30.0,0.6220107996914374,0.6186516950242146,0.6132516178802554,0.6179713708653024
119,119,40996,None,DecisionTreeClassifier,30.0,0.5972829347732922,0.5984656923670338,0.5909655852226461,0.5955714041209906
120,120,40996,VAE,LogisticRegression,35.0,0.7779634867575212,0.7757253675052501,0.7704538636266233,0.7747142392964649
121,121,40996,VAE,GaussianNB,35.0,0.5859261163966744,0.557322247460678,0.5707795825654652,0.5713426488076059
122,122,40996,VAE,KNeighborsClassifier,35.0,0.7708065483843318,0.7655252217888827,0.7680109715853084,0.7681142472528409
123,123,40996,VAE,DecisionTreeClassifier,35.0,0.6703951315676695,0.6715381648309262,0.6692667038100544,0.67040000006955
124,124,40996,SAE,LogisticRegression,35.0,0.7738921745092997,0.7736681952599322,0.7774825354647924,0.7750143017446748
125,125,40996,SAE,GaussianNB,35.0,0.3436187537498929,0.3604337204817212,0.3786482664038058,0.3609002468784733
126,126,40996,SAE,KNeighborsClassifier,35.0,0.6760092568783749,0.6917670252432178,0.6935670509578709,0.6871144443598212
127,127,40996,SAE,DecisionTreeClassifier,35.0,0.6400102854204166,0.6368662409462992,0.6390091287018386,0.6386285516895182
128,128,40996,DAE,LogisticRegression,35.0,0.7851632810491129,0.7911113015900227,0.7880684009771568,0.7881143278720976
129,129,40996,DAE,GaussianNB,35.0,0.6223107911202537,0.6190802725753225,0.6237089101272876,0.6216999912742879
130,130,40996,DAE,KNeighborsClassifier,35.0,0.6499957144081597,0.6500664295204217,0.662709467278104,0.6542572037355618
131,131,40996,DAE,DecisionTreeClassifier,35.0,0.6486671809376875,0.6567950970728154,0.6478378262546608,0.6511000347550545
132,132,40996,AE,LogisticRegression,35.0,0.7745350132853347,0.7765396648523549,0.7761110873012471,0.7757285884796458
133,133,40996,AE,GaussianNB,35.0,0.4587726064969572,0.5704795782796898,0.5031929027557537,0.5108150291774668
134,134,40996,AE,KNeighborsClassifier,35.0,0.4805434130453416,0.4868212403034329,0.500921441734882,0.4894286983612188
135,135,40996,AE,DecisionTreeClassifier,35.0,0.5700265706694094,0.5790082715467364,0.5766082372605323,0.5752143598255594
136,136,40996,None,LogisticRegression,35.0,0.7641638810319705,0.7654395062786611,0.7662538036257661,0.7652857303121325
137,137,40996,None,GaussianNB,35.0,0.4470300848547185,0.4743496335661938,0.4520636009085844,0.4578144397764989
138,138,40996,None,KNeighborsClassifier,35.0,0.5667266649524301,0.5656795097072815,0.5785368362405178,0.5703143369667432
139,139,40996,None,DecisionTreeClassifier,35.0,0.5826262106796949,0.5855226503235761,0.5914370205288647,0.5865286271773785
140,140,40996,VAE,LogisticRegression,40.0,0.7669066598097197,0.7668538121973171,0.7580679723996057,0.7639428148022142
141,141,40996,VAE,GaussianNB,40.0,0.6235107568355189,0.5609222988899841,0.6130373291047015,0.5991567949434016
142,142,40996,VAE,KNeighborsClassifier,40.0,0.7525927830633411,0.7514250203574336,0.7491107015814512,0.7510428350007421
143,143,40996,VAE,DecisionTreeClassifier,40.0,0.6566383817605211,0.6525950370719582,0.6505807225817511,0.6532713804714101
144,144,40996,SAE,LogisticRegression,40.0,0.7690065998114339,0.7675823940342005,0.7656966528093259,0.7674285488849867
145,145,40996,SAE,GaussianNB,40.0,0.3460615410988257,0.320361719453135,0.315947370676724,0.3274568770762282
146,146,40996,SAE,KNeighborsClassifier,40.0,0.6828662038227479,0.670766725238932,0.6411520164573778,0.6649283151730193
147,147,40996,SAE,DecisionTreeClassifier,40.0,0.6286534670437988,0.6241803454335062,0.6339090558436549,0.6289142894403199
148,148,40996,DAE,LogisticRegression,40.0,0.7779206308391189,0.7792397034243347,0.7770968156687953,0.778085716644083
149,149,40996,DAE,GaussianNB,40.0,0.6332390503128482,0.6339519135987657,0.5841940599151416,0.6171283412755851
150,150,40996,DAE,KNeighborsClassifier,40.0,0.667480929116311,0.6455663652337891,0.6108944413491622,0.6413139118997541
151,151,40996,DAE,DecisionTreeClassifier,40.0,0.6415530984829005,0.6379805425791797,0.6341662023743196,0.6378999478121332
152,152,40996,AE,LogisticRegression,40.0,0.7702494214451016,0.7665538079115416,0.7681824026057515,0.7683285439874649
153,153,40996,AE,GaussianNB,40.0,0.4799434301877089,0.5309647280675438,0.5055072215317362,0.5054717932623296
154,154,40996,AE,KNeighborsClassifier,40.0,0.4480586268963744,0.4508635837654824,0.4586208374405349,0.4525143493674639
155,155,40996,AE,DecisionTreeClassifier,40.0,0.5403702751349961,0.5711653023614623,0.5762225174645352,0.5625860316536646
156,156,40996,None,LogisticRegression,40.0,0.7582926202108511,0.7564393777053958,0.7547250675009644,0.7564856884724037
157,157,40996,None,GaussianNB,40.0,0.4042170223707894,0.3605194359919428,0.3634337633394763,0.3760567405674029
158,158,40996,None,KNeighborsClassifier,40.0,0.5235278992028799,0.5090215574508207,0.5092358462263746,0.5139284342933584
159,159,40996,None,DecisionTreeClassifier,40.0,0.5731979086311819,0.5733510478721124,0.5697081386876955,0.5720856983969966
160,160,40996,VAE,LogisticRegression,45.0,0.7539213165338133,0.7602965756653667,0.753782196888527,0.7560000296959023
161,161,40996,VAE,GaussianNB,45.0,0.5914973857889775,0.5899798568550979,0.5572793897055672,0.5795855441165475
162,162,40996,VAE,KNeighborsClassifier,45.0,0.7358789748864318,0.7391248446406378,0.7368533836197659,0.7372857343822785
163,163,40996,VAE,DecisionTreeClassifier,45.0,0.6406959801148538,0.6477092529893285,0.6498949984999786,0.6461000772013868
164,164,40996,SAE,LogisticRegression,45.0,0.7517356646952944,0.7593108472978185,0.7544250632151888,0.7551571917361005
165,165,40996,SAE,GaussianNB,45.0,0.31353389903145623,0.3058329404705781,0.31371876741096305,0.3110285356376658
166,166,40996,SAE,KNeighborsClassifier,45.0,0.6551384246164396,0.6709381562593751,0.6567950970728154,0.6609572259828767
167,167,40996,SAE,DecisionTreeClassifier,45.0,0.6307962629639153,0.6231089015557365,0.621394591351305,0.6250999186236522
168,168,40996,DAE,LogisticRegression,45.0,0.7668209479729151,0.7727681824026057,0.7686966956670809,0.7694286086808674
169,169,40996,DAE,GaussianNB,45.0,0.6142967343790178,0.6241803454335062,0.5997085672652467,0.6127285490259236
170,170,40996,DAE,KNeighborsClassifier,45.0,0.6254821290820263,0.6207517250246433,0.6370376719667424,0.6277571753578041
171,171,40996,DAE,DecisionTreeClassifier,45.0,0.6298105768406617,0.6354090772725325,0.6289375562508036,0.6313857367879993
172,172,40996,AE,LogisticRegression,45.0,0.7561069683723323,0.7649252132173316,0.7581536879098273,0.759728623166497
173,173,40996,AE,GaussianNB,45.0,0.5821547955772692,0.5126644666352377,0.5302361462306604,0.5416851361477225
174,174,40996,AE,KNeighborsClassifier,45.0,0.40391703094197307,0.4103201474306776,0.4228774696781383,0.4123715493502629
175,175,40996,AE,DecisionTreeClassifier,45.0,0.5628267763778178,0.5574508207260104,0.5476363948056401,0.5559713306364894
176,176,40996,None,LogisticRegression,45.0,0.746121539384589,0.7495392791325591,0.7501392877041101,0.7486000354070859
177,177,40996,None,GaussianNB,45.0,0.32471929373446473,0.3175331076158231,0.2945613508764411,0.312271250742243
178,178,40996,None,KNeighborsClassifier,45.0,0.4470729407731208,0.4523636051943599,0.4546779239703425,0.4513714899792744
179,179,40996,None,DecisionTreeClassifier,45.0,0.5588411759664009,0.5618651695024215,0.5585651223588909,0.5597571559425711
180,180,40996,VAE,LogisticRegression,50.0,0.7454358446901517,0.7377533964770925,0.7446106372948185,0.7425999594873542
181,181,40996,VAE,GaussianNB,50.0,0.5766692380217708,0.5979085415505936,0.6003085758367976,0.5916287851363874
182,182,40996,VAE,KNeighborsClassifier,50.0,0.7225507842633068,0.7139244846354947,0.7245960656580809,0.7203571115189608
183,183,40996,VAE,DecisionTreeClassifier,50.0,0.6213679609154024,0.6205802940042,0.6350662152316462,0.6256714900504162
184,184,40996,SAE,LogisticRegression,50.0,0.745735836118968,0.7430249003557193,0.7454249346419235,0.7447285570388703
185,185,40996,SAE,GaussianNB,50.0,0.3098482900488557,0.2943042043457764,0.3039471992457035,0.3026998978801119
186,186,40996,SAE,KNeighborsClassifier,50.0,0.6472529356304105,0.6423091758453692,0.6534093344190631,0.6476571486316143
187,187,40996,SAE,DecisionTreeClassifier,50.0,0.6073540755978399,0.6077229674709639,0.6126944670638153,0.6092571700442064
188,188,40996,DAE,LogisticRegression,50.0,0.7616353818462329,0.7541679166845241,0.7620108858697981,0.7592713948001851
189,189,40996,DAE,GaussianNB,50.0,0.6027684923287906,0.5648652123601766,0.6071229588994128,0.5915855545294599
190,190,40996,DAE,KNeighborsClassifier,50.0,0.63088197480072,0.6159945142073459,0.5967942399177131,0.6145569096419263
191,191,40996,DAE,DecisionTreeClassifier,50.0,0.6263821033684752,0.6172373891055587,0.6288089829854713,0.6241428251531683
192,192,40996,AE,LogisticRegression,50.0,0.7489500299991428,0.7465820940299147,0.7501392877041101,0.7485571372443892
193,193,40996,AE,GaussianNB,50.0,0.5249850004285592,0.4702352890755582,0.5380791154159346,0.5110998016400173
194,194,40996,AE,KNeighborsClassifier,50.0,0.3922173652181366,0.34761925170359576,0.3945056357947971,0.3781140842388431
195,195,40996,AE,DecisionTreeClassifier,50.0,0.5282849061455387,0.5229503278618266,0.5331504735781939,0.5281285691951864
196,196,40996,None,LogisticRegression,50.0,0.7417073797891489,0.7353105044357776,0.7419105987228389,0.7396428276492552
197,197,40996,None,GaussianNB,50.0,0.2410216850947116,0.2335747653537908,0.25950370719581706,0.24470005254810645
198,198,40996,None,KNeighborsClassifier,50.0,0.405588411759664,0.4100630009000129,0.4035486221231732,0.40640001159428335
199,199,40996,None,DecisionTreeClassifier,50.0,0.5540413131053399,0.5499935713367334,0.5462220888869841,0.5500856577763525
